Year,Competition,Location,Gender,Phase,Gate,BIB,Ramp Position,Action,Order,Final Position,Upstream Tactic,Athlete Name,Faults,Contest Statistics,Video Link
2024,OLY,Paris,W,R3,Gate 2,G,,Right-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R3,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R3,Gate 3,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R3,Gate 3,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R3,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R3,Gate 4,B,,Down-Left,2,,,,FLT,,
2024,OLY,Paris,W,R3,Gate 4,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R3,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R3,Gate 5,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R3,Gate 5,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R3,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R3,Gate 6,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R3,Gate 6,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R3,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R3,Gate 7,B,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R3,Gate 7,G,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R3,Gate 8,R,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R3,Gate 8,B,,Left-Up,2,,FOLLOW,,,,
2024,OLY,Paris,W,R3,Gate 8,G,,Right-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R3,Finish,R,,Finish,1,1,,,,,
2024,OLY,Paris,W,R3,Finish,B,,Finish,2,2,,,,,
2024,OLY,Paris,W,R3,Finish,G,,Finish,3,3,,,,,
2024,OLY,Paris,W,R4,Ramp,R,2,Assigned,,,,JONES Luuka,,,
2024,OLY,Paris,W,R4,Ramp,G,1,Assigned,,,,LAZKANO Miren,,,
2024,OLY,Paris,W,R4,Ramp,B,3,Assigned,,,,PANKOVA Zuzana,,,
2024,OLY,Paris,W,R4,Gate 1,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R4,Gate 1,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R4,Gate 1,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R4,Course,R,,Roll,1,,,,,,
2024,OLY,Paris,W,R4,Course,B,,Roll,2,,,,,,
2024,OLY,Paris,W,R4,Course,G,,Roll,3,,,,,,
2024,OLY,Paris,W,R4,Gate 2,R,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R4,Gate 2,G,,Left-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R4,Gate 2,B,,Right-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R4,Gate 3,G,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R4,Gate 3,R,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R4,Gate 3,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R4,Gate 4,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R4,Gate 4,R,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R4,Gate 4,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R4,Gate 5,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R4,Gate 5,R,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R4,Gate 5,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R4,Gate 6,G,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R4,Gate 6,R,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R4,Gate 6,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R4,Gate 7,G,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R4,Gate 7,R,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R4,Gate 7,B,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R4,Gate 8,G,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R4,Gate 8,R,,Right-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R4,Gate 8,B,,Right-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R4,Finish,G,,Finish,1,1,,,,,
2024,OLY,Paris,W,R4,Finish,R,,Finish,2,2,,,,,
2024,OLY,Paris,W,R4,Finish,B,,Finish,3,3,,,,,
2024,OLY,Paris,W,R5,Ramp,G,1,Assigned,,,,WOODS Kimberley,,,
2024,OLY,Paris,W,R5,Ramp,R,2,Assigned,,,,SATILA Ana,,,
2024,OLY,Paris,W,R5,Ramp,B,3,Assigned,,,,WEGMAN Martina,,,
2024,OLY,Paris,W,R5,Gate 1,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R5,Gate 1,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R5,Gate 1,R,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R5,Course,G,,Roll,1,,,,,,
2024,OLY,Paris,W,R5,Course,B,,Roll,2,,,,,,
2024,OLY,Paris,W,R5,Course,R,,Roll,3,,,,,,
2024,OLY,Paris,W,R5,Gate 2,G,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R5,Gate 2,B,,Right-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R5,Gate 2,R,,Left-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R5,Gate 3,G,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R5,Gate 3,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R5,Gate 3,R,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R5,Gate 4,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R5,Gate 4,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R5,Gate 4,R,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R5,Gate 5,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R5,Gate 5,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R5,Gate 5,R,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R5,Gate 6,G,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R5,Gate 6,R,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R5,Gate 6,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R5,Gate 7,G,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R5,Gate 7,B,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R5,Gate 7,R,,Down-Through,3,,,,FLT,,
2024,OLY,Paris,W,R5,Gate 8,G,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R5,Gate 8,B,,Left-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R5,Gate 8,R,,Left-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R5,Finish,G,,Finish,1,1,,,,,
2024,OLY,Paris,W,R5,Finish,B,,Finish,2,2,,,,,
2024,OLY,Paris,W,R5,Finish,R,,Finish,3,3,,,,,
2024,OLY,Paris,W,R6,Ramp,R,1,Assigned,,,,LEIBFARTH Evy,,,
2024,OLY,Paris,W,R6,Ramp,G,2,Assigned,,,,HORN Stefanie,,,
2024,OLY,Paris,W,R6,Ramp,B,4,Assigned,,,,BERTONCELLI Marta,,,
2024,OLY,Paris,W,R6,Gate 1,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R6,Gate 1,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R6,Gate 1,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R6,Course,R,,Roll,1,,,,,,
2024,OLY,Paris,W,R6,Course,G,,Roll,2,,,,,,
2024,OLY,Paris,W,R6,Course,B,,Roll,3,,,,,,
2024,OLY,Paris,W,R6,Gate 2,R,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R6,Gate 2,G,,Right-Up,2,,SPLIT,,FLT,,
2024,OLY,Paris,W,R6,Gate 2,B,,Left-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R6,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R6,Gate 3,G,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R6,Gate 3,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R6,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R6,Gate 4,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R6,Gate 4,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R6,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R6,Gate 5,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R6,Gate 5,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R6,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R6,Gate 6,G,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R6,Gate 6,B,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R6,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R6,Gate 7,G,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R6,Gate 7,B,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R6,Gate 8,R,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R6,Gate 8,G,,Right-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R6,Gate 8,B,,Right-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R6,Finish,R,,Finish,1,1,,,,,
2024,OLY,Paris,W,R6,Finish,G,,Finish,2,2,,,,,
2024,OLY,Paris,W,R6,Finish,B,,Finish,3,3,,,,,
2024,OLY,Paris,W,R7,Ramp,R,2,Assigned,,,,FUNK Ricarda,,,
2024,OLY,Paris,W,R7,Ramp,G,3,Assigned,,,,ZWOLINSKA Klaudia,,,
2024,OLY,Paris,W,R7,Ramp,B,1,Assigned,,,,MARX Alena,,,
2024,OLY,Paris,W,R7,Gate 1,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R7,Gate 1,R,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R7,Gate 1,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R7,Course,G,,Roll,1,,,,,,
2024,OLY,Paris,W,R7,Course,R,,Roll,2,,,,,,
2024,OLY,Paris,W,R7,Course,B,,Roll,3,,,,,,
2024,OLY,Paris,W,R7,Gate 2,R,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R7,Gate 2,G,,Left-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R7,Gate 2,B,,Right-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R7,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R7,Gate 3,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R7,Gate 3,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R7,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R7,Gate 4,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R7,Gate 4,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R7,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R7,Gate 5,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R7,Gate 5,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R7,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R7,Gate 6,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R7,Gate 6,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R7,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R7,Gate 7,B,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R7,Gate 7,G,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R7,Gate 8,R,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R7,Gate 8,B,,Left-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R7,Gate 8,G,,Right-Up,3,,SPLIT,,,,
2024,OLY,Paris,W,R7,Finish,R,,Finish,1,1,,,,,
2024,OLY,Paris,W,R7,Finish,B,,Finish,2,2,,,,,
2024,OLY,Paris,W,R7,Finish,G,,Finish,3,3,,,,,
2024,OLY,Paris,W,R8,Ramp,R,1,Assigned,,,,FOX Noemie,,,
2024,OLY,Paris,W,R8,Ramp,G,2,Assigned,,,,CHOURRAUT Maialen,,,
2024,OLY,Paris,W,R8,Ramp,B,3,Assigned,,,,US Viktoriia,,,
2024,OLY,Paris,W,R8,Ramp,Y,4,Assigned,,,,BETTERIDGE Lois,,,
2024,OLY,Paris,W,R8,Gate 1,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R8,Gate 1,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R8,Gate 1,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R8,Gate 1,Y,,Down-Left,4,,,,,,
2024,OLY,Paris,W,R8,Course,R,,Roll,1,,,,,,
2024,OLY,Paris,W,R8,Course,G,,Roll,2,,,,,,
2024,OLY,Paris,W,R8,Course,B,,Roll,3,,,,,,
2024,OLY,Paris,W,R8,Course,Y,,Roll,4,,,,,,
2024,OLY,Paris,W,R8,Gate 2,R,,Right-Up,1,,Right-Up,,,,
