Year,Competition,Location,Gender,Phase,Gate,BIB,Ramp Position,Action,Order,Final Position,Upstream Tactic,Athlete Name,Faults,NOTES & COMMENTS
2025,WCh,Penrith,W,R4,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R4,Gate 8,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R4,Gate 8,G,,Left-Up,2,,FOLLOW,,,
2025,WCh,Penrith,W,R4,Gate 8,B,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R4,Gate 8,Y,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R4,Finish,G,,Finish,1,1,,,,
2025,WCh,Penrith,W,R4,Finish,Y,,Finish,2,2,,,,
2025,WCh,Penrith,W,R4,Finish,R,,Finish,3,3,,,,
2025,WCh,Penrith,W,R4,Finish,B,,Finish,4,4,,,,
2025,WCh,Penrith,W,R5,Ramp,R,4,Assigned,,,,FOX Noemie,,
2025,WCh,Penrith,W,R5,Ramp,G,3,Assigned,,,,STANOVSKA Sona,,
2025,WCh,Penrith,W,R5,Ramp,Y,2,Assigned,,,,US Viktoriia,,
2025,WCh,Penrith,W,R5,Ramp,B,1,Assigned,,,,MILLS Waris,,
2025,WCh,Penrith,W,R5,Gate 1,G,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R5,Gate 1,R,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R5,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R5,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R5,Gate 2,G,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R5,Gate 2,R,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R5,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R5,Gate 2,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R5,Gate 3,G,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R5,Gate 3,B,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R5,Gate 3,R,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R5,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R5,Gate 8,G,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R5,Gate 8,B,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R5,Gate 8,R,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R5,Gate 8,Y,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R5,Finish,G,,Finish,1,1,,,,
2025,WCh,Penrith,W,R5,Finish,B,,Finish,2,2,,,,
2025,WCh,Penrith,W,R5,Finish,R,,Finish,3,3,,,,
2025,WCh,Penrith,W,R5,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,W,R6,Ramp,R,4,Assigned,,,,HUG Angele,,
2025,WCh,Penrith,W,R6,Ramp,G,3,Assigned,,,,CHOURRAUT Maialen,,
2025,WCh,Penrith,W,R6,Ramp,Y,2,Assigned,,,,BRZESKA Dominika,,
2025,WCh,Penrith,W,R6,Ramp,B,1,Assigned,,,,PITCHER FARRELL Cleo,,
2025,WCh,Penrith,W,R6,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R6,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R6,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R6,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R6,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R6,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R6,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R6,Gate 2,Y,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R6,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R6,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R6,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R6,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R6,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R6,Gate 8,G,,Right-Up,2,,FOLLOW,,,
2025,WCh,Penrith,W,R6,Gate 8,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R6,Gate 8,Y,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R6,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R6,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R6,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,W,R6,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,W,R7,Ramp,R,4,Assigned,,,,VUITTON Emma,,
2025,WCh,Penrith,W,R7,Ramp,G,3,Assigned,,,,PANKOVA Zuzana,,
2025,WCh,Penrith,W,R7,Ramp,Y,2,Assigned,,,,LEAVER Lois,,
2025,WCh,Penrith,W,R7,Ramp,B,1,Assigned,,,,XIE Xueting,,
2025,WCh,Penrith,W,R7,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R7,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R7,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R7,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R7,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R7,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R7,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R7,Gate 2,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R7,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R7,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R7,Gate 3,Y,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R7,Gate 3,B,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R7,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R7,Gate 8,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R7,Gate 8,B,,Left-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R7,Gate 8,Y,,Left-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R7,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R7,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R7,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,W,R7,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,W,R8,Ramp,R,4,Assigned,,,,SETCHELL Nikita,,
2025,WCh,Penrith,W,R8,Ramp,G,3,Assigned,,,,PRIGENT Camille,,
2025,WCh,Penrith,W,R8,Ramp,Y,2,Assigned,,,,DAVIDSON Codie,,
2025,WCh,Penrith,W,R8,Ramp,B,1,Assigned,,,,TEUNISSEN Lena,,
2025,WCh,Penrith,W,R8,Gate 1,G,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R8,Gate 1,B,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R8,Gate 1,R,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R8,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R8,Gate 2,G,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R8,Gate 2,R,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R8,Gate 2,B,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R8,Gate 2,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R8,Gate 3,G,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R8,Gate 3,R,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R8,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R8,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R8,Gate 8,G,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R8,Gate 8,R,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R8,Gate 8,B,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R8,Gate 8,Y,,Right-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R8,Finish,G,,Finish,1,1,,,,
2025,WCh,Penrith,W,R8,Finish,B,,Finish,2,2,,,,
2025,WCh,Penrith,W,R8,Finish,R,,Finish,3,3,,,,
2025,WCh,Penrith,W,R8,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,W,R9,Ramp,R,4,Assigned,,,,DORIA Monica,,
2025,WCh,Penrith,W,R9,Ramp,G,3,Assigned,,,,HILGERTOVA Amalie,,
2025,WCh,Penrith,W,R9,Ramp,Y,2,Assigned,,,,ESTACIA NETA Omira,,
2025,WCh,Penrith,W,R9,Ramp,B,1,Assigned,,,,WILLIAMS Courtney,,
2025,WCh,Penrith,W,R9,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R9,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R9,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R9,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R9,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R9,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R9,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R9,Gate 2,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R9,Gate 3,B,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R9,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R9,Gate 3,R,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R9,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R9,Gate 8,B,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R9,Gate 8,G,,Left-Up,2,,FOLLOW,,,
2025,WCh,Penrith,W,R9,Gate 8,R,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R9,Gate 8,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R9,Finish,B,,Finish,1,1,,,,
2025,WCh,Penrith,W,R9,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R9,Finish,Y,,Finish,3,3,,,,
2025,WCh,Penrith,W,R9,Finish,R,,Finish,4,4,,,,
2025,WCh,Penrith,W,R10,Ramp,R,4,Assigned,,,,ZWOLINSKA Klaudia,,
2025,WCh,Penrith,W,R10,Ramp,G,3,Assigned,,,,GORA Aleksandra,,
2025,WCh,Penrith,W,R10,Ramp,Y,2,Assigned,,,,KRYLOVA Kseniia,,
2025,WCh,Penrith,W,R10,Ramp,B,1,Assigned,,,,REINOSO Sofia,,
2025,WCh,Penrith,W,R10,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R10,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R10,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R10,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R10,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R10,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R10,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R10,Gate 2,Y,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R10,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R10,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R10,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R10,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R10,Gate 8,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R10,Gate 8,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R10,Gate 8,B,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R10,Gate 8,Y,,Right-Up,4,,SPLIT,,,
2025,WCh,Penrith,W,R10,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R10,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,W,R10,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,W,R10,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,W,R11,Ramp,R,4,Assigned,,,,LEIBFARTH Evy,,
2025,WCh,Penrith,W,R11,Ramp,G,3,Assigned,,,,BAYN Nele,,
2025,WCh,Penrith,W,R11,Ramp,Y,2,Assigned,,,,SORRIBES Laia,,
2025,WCh,Penrith,W,R11,Ramp,B,1,Assigned,,,,FUNK Ricarda,,
2025,WCh,Penrith,W,R11,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,W,R11,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,W,R11,Gate 1,Y,,Down-Through,3,,,,,
2025,WCh,Penrith,W,R11,Gate 1,B,,Down-Through,4,,,,,
2025,WCh,Penrith,W,R11,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,W,R11,Gate 2,G,,Left-Up,2,,FOLLOW,,,
2025,WCh,Penrith,W,R11,Gate 2,Y,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,W,R11,Gate 2,B,,Right-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R11,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,W,R11,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,W,R11,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,W,R11,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,W,R11,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,W,R11,Gate 8,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,W,R11,Gate 8,Y,,Left-Up,3,,FOLLOW,,,
2025,WCh,Penrith,W,R11,Gate 8,B,,Left-Up,4,,FOLLOW,,,
2025,WCh,Penrith,W,R11,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,W,R11,Finish,Y,,Finish,2,2,,,,
2025,WCh,Penrith,W,R11,Finish,G,,Finish,3,3,,,,
2025,WCh,Penrith,W,R11,Finish,B,,Finish,4,4,,,,
2025,WCh,Penrith,M,R1,Ramp,R,4,Assigned,,,,Llorente David,,
2025,WCh,Penrith,M,R1,Ramp,G,3,Assigned,,,,Renia Benjamin,,
2025,WCh,Penrith,M,R1,Ramp,B,2,Assigned,,,,Pope Benjamin,,
2025,WCh,Penrith,M,R1,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,M,R1,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,M,R1,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,M,R1,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,M,R1,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R1,Gate 2,B,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,M,R1,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,M,R1,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,M,R1,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,M,R1,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,M,R1,Gate 8,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R1,Gate 8,B,,Left-Up,3,,FOLLOW,,,
2025,WCh,Penrith,M,R1,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,M,R1,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,M,R1,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,M,R2,Ramp,R,4,Assigned,,,,Clarke Joseph,,
2025,WCh,Penrith,M,R2,Ramp,B,3,Assigned,,,,Rohrer Jan,,
2025,WCh,Penrith,M,R2,Ramp,G,1,Assigned,,,,Dougoud Martin,,
2025,WCh,Penrith,M,R2,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,M,R2,Gate 1,B,,Down-Through,2,,,,,
2025,WCh,Penrith,M,R2,Gate 1,G,,Down-Through,3,,,,,
2025,WCh,Penrith,M,R2,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,M,R2,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R2,Gate 2,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,M,R2,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,M,R2,Gate 3,G,,Down-Left,2,,,,,
2025,WCh,Penrith,M,R2,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,M,R2,Gate 8,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,M,R2,Gate 8,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R2,Gate 8,B,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,M,R2,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,M,R2,Finish,G,,Finish,2,2,,,,
2025,WCh,Penrith,M,R2,Finish,B,,Finish,3,3,,,,
2025,WCh,Penrith,M,R3,Ramp,R,4,Assigned,,,,Krejci Jakub,,
2025,WCh,Penrith,M,R3,Ramp,G,3,Assigned,,,,Baldoni Alex,,
2025,WCh,Penrith,M,R3,Ramp,Y,2,Assigned,,,,De Coster Gabriel,,
2025,WCh,Penrith,M,R3,Ramp,B,1,Assigned,,,,Echeverria Olguin Andraz,,
2025,WCh,Penrith,M,R3,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,M,R3,Gate 1,B,,Down-Through,2,,,,,
2025,WCh,Penrith,M,R3,Gate 1,G,,Down-Through,3,,,,,
2025,WCh,Penrith,M,R3,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,M,R3,Gate 2,R,,Left-Up,1,,Left-Up,,,
2025,WCh,Penrith,M,R3,Gate 2,G,,Right-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R3,Gate 2,B,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,M,R3,Gate 2,Y,,Right-Up,4,,SPLIT,,,
2025,WCh,Penrith,M,R3,Gate 3,R,,Down-Left,1,,,,,
2025,WCh,Penrith,M,R3,Gate 3,B,,Down-Left,2,,,,,
2025,WCh,Penrith,M,R3,Gate 3,G,,Down-Left,3,,,,,
2025,WCh,Penrith,M,R3,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,M,R3,Gate 8,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,M,R3,Gate 8,B,,Right-Up,2,,FOLLOW,,,
2025,WCh,Penrith,M,R3,Gate 8,G,,Right-Up,3,,FOLLOW,,,
2025,WCh,Penrith,M,R3,Gate 8,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,M,R3,Finish,R,,Finish,1,1,,,,
2025,WCh,Penrith,M,R3,Finish,B,,Finish,2,2,,,,
2025,WCh,Penrith,M,R3,Finish,G,,Finish,3,3,,,,
2025,WCh,Penrith,M,R3,Finish,Y,,Finish,4,4,,,,
2025,WCh,Penrith,M,R4,Ramp,G,4,Assigned,,,,Grigar Jakub,,
2025,WCh,Penrith,M,R4,Ramp,R,3,Assigned,,,,Hocevar Ziga Lin,,
2025,WCh,Penrith,M,R4,Ramp,Y,2,Assigned,,,,Eigel Pavel,,
2025,WCh,Penrith,M,R4,Ramp,B,1,Assigned,,,,Delfour Lucien,,
2025,WCh,Penrith,M,R4,Gate 1,R,,Down-Through,1,,,,,
2025,WCh,Penrith,M,R4,Gate 1,G,,Down-Through,2,,,,,
2025,WCh,Penrith,M,R4,Gate 1,B,,Down-Through,3,,,,,
2025,WCh,Penrith,M,R4,Gate 1,Y,,Down-Through,4,,,,,
2025,WCh,Penrith,M,R4,Gate 2,R,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,M,R4,Gate 2,G,,Left-Up,2,,SPLIT,,,
2025,WCh,Penrith,M,R4,Gate 2,B,,Right-Up,3,,SPLIT,,,
2025,WCh,Penrith,M,R4,Gate 2,Y,,Left-Up,4,,SPLIT,,,
2025,WCh,Penrith,M,R4,Gate 3,G,,Down-Left,1,,,,,
2025,WCh,Penrith,M,R4,Gate 3,R,,Down-Left,2,,,,,
2025,WCh,Penrith,M,R4,Gate 3,B,,Down-Left,3,,,,,
2025,WCh,Penrith,M,R4,Gate 3,Y,,Down-Left,4,,,,,
2025,WCh,Penrith,M,R4,Gate 8,B,,Right-Up,1,,Right-Up,,,
2025,WCh,Penrith,M,R4,Gate 8,R,,Right-Up,2,,FOLLOW,,,
2025,WCh,Penrith,M,R4,Gate 8,G,,Left-Up,3,,SPLIT,,,
2025,WCh,Penrith,M,R4,Gate 8,Y,,Left-Up,4,,FOLLOW,,,
