Year,Competition,Location,Gender,Athlete,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Total Time,Rank,Faults,NOTES & COMMENTS
2025,WC5,Augsburg,M,KREMSLEHNER Moritz,9.265781667,11.57777667,10.81778,6.981866667,8.383946667,18.791755,4.077893333,,,69.8968,31,,
2025,WC5,Augsburg,M,OHRSTROM Isak,9.07767,11.68551167,10.66179667,6.789813333,9.3799,18.44588167,3.947935,,,69.98850833,30,,
2025,WC5,Augsburg,M,SOVKO Serhii,9.453466667,11.14166833,11.57945667,6.537781667,8.501908333,17.83186167,4.973956667,,,70.0201,47,FLT 7,
2025,WC5,Augsburg,M,SKUBIK David,9.323753333,12.35540667,12.08532,5.97772,8.70988,17.9538,4.0878,,,70.49368,32,,
2025,WC5,Augsburg,M,FRIEDENSON Kaelin,9.25164,12.08576,11.30944,7.22976,9.22384,17.2712,4.5778,,,70.94944,34,,
2025,WC5,Augsburg,M,KITAMURA Koki,8.959605,12.39923333,11.77576167,6.36589,10.06390167,18.675845,3.651865,,,71.89210167,36,,
2025,WC5,Augsburg,M,SAVLI Jakob,9.58184,12.35768,11.9752,6.39764,8.2598,18.381,4.97332,,,71.92648,37,,
2025,WC5,Augsburg,M,KRACHKO Arkhyp,9.4078,11.67168,12.0972,6.45584,10.61944,17.3114,4.59344,,,72.1568,38,,
2025,WC5,Augsburg,M,MISHIMA Yu,9.5418,12.47964,10.99972,6.3476,9.7472,19.62508,4.11372,,,72.85476,39,,
2025,WC5,Augsburg,M,NESHIME Daisuke,9.33524,13.1834,11.8154,6.86584,9.42988,18.59956,4.0398,,,73.26912,48,FLT 7,
2025,WC5,Augsburg,M,BOYD Trevor,9.41572,12.44376,11.79116,6.72576,9.21184,19.55572,4.22736,,,73.37132,40,,
2025,WC5,Augsburg,M,ANDERSON Finn,9.7056,12.04948,12.48768,6.64368,10.32524,18.3254,4.4296,,,73.96668,41,,
2025,WC5,Augsburg,M,MCCREERY Alistair,9.20384,11.55972,11.11136,6.72776,14.74908,17.00728,3.9638,,,74.32284,54,FLT 6,
2025,WC5,Augsburg,M,DA SILVA Kaua,9.29568,12.04558833,12.02567,6.779881667,8.631883333,25.23954333,4.395966667,,,78.41421333,44,,
2025,WC5,Augsburg,M,BARAT Andy,9.58956,13.18964,11.86752,6.55984,13.80504,19.50492,5.47596,,,79.99248,45,,
2026,WC1,Tacen,W,HUG Angele,9.77052,9.6356,8.45388,8.55372,6.80156,8.45192,3.58784,,,55.25504,2,,Splits for 2026 WC1 Tacen finish at Gate 8. This is due to no video footage/ angle showing athletes crossing the finish line.
2026,WC1,Tacen,W,PRIGENT Camille,8.149765,9.577631667,7.935868333,9.487898333,6.175933333,7.387848333,3.961975,,,52.67692,1,,
2026,WC1,Tacen,W,WOODS Kimberley,8.71152,8.72524,8.2696,10.0598,6.57556,8.16184,3.9798,,,54.48336,3,,
2026,WC1,Tacen,W,LEIBFARTH Evy,9.31168,10.0578,8.19588,8.90784,6.7278,9.58188,4.42392,,,57.2068,9,,
2026,WC1,Tacen,W,CHOURRAUT Maialen,9.307328333,9.893745,7.943923889,10.53384444,6.461938333,8.565971667,3.825945,,,56.53269667,7,,
2026,WC1,Tacen,W,MARX Alena,8.667818333,9.055825,9.363823333,8.46191,11.01592167,11.21196833,3.761343333,,,61.53861,28,,
2026,WC1,Tacen,W,ZWOLINSKA Klaudia,9.909276667,9.431121667,9.139811667,9.449855,6.513903333,8.037963333,3.481966667,,,55.96389833,5,,
2026,WC1,Tacen,W,KNEBLOVA Tereza,8.76132,10.47372,8.63788,14.67172,6.72192,8.32196,3.92332,,,61.51184,27,,
2026,WC1,Tacen,W,SETCHELL Nikita,8.349486667,9.926666667,9.34191,8.735901111,6.317808889,8.621966667,3.729968333,,,55.02370833,39,FLT 2,
2026,WC1,Tacen,W,BEKOVA Katerina,9.26348,9.42344,8.6178,10.1278,7.20732,7.63392,3.98376,,,56.25752,4,,
2026,WC1,Tacen,W,US Viktoriia,9.40532,10.26568,9.05188,10.15972,6.94788,9.33992,4.22792,,,59.39832,17,,
2026,WC1,Tacen,W,LEAVER Lois,9.59708,10.00176,8.0498,9.62964,6.91356,9.47996,4.78984,,,58.46164,18,,
2026,WC1,Tacen,W,LAZKANO Miren,9.411485,10.41971167,8.739878333,9.507908333,6.261935,11.83193333,4.005945,,,60.17879667,21,,
2026,WC1,Tacen,W,TEUNISSEN Lena,10.69946667,10.27184722,9.097739444,10.14184333,7.469981667,8.719966667,4.973946667,,,61.37479167,25,,
2026,WC1,Tacen,W,LI Shiting,0,0,0,0,0,0,0,,,0,36,,
2026,WC1,Tacen,W,SAMKOVA Olga,9.52348,9.74584,8.447966667,9.683753333,7.24588,9.33584,4.18588,,,58.16864,12,,
2026,WC1,Tacen,W,PANKOVA Zuzana,10.63745667,9.353548333,8.063940556,9.721854444,6.819908333,7.993978333,3.709946667,,,67.94051833,6,,
2026,WC1,Tacen,W,HOCEVAR Eva Alina,10.81924,10.00576,9.71592,10.42988,6.96192,7.92192,4.41368,,,60.26832,22,,
2026,WC1,Tacen,W,ALTMAN Marcella,0,0,0,0,0,0,0,,,0,37,,
2026,WC1,Tacen,W,STANOVSKA Sona,8.78356,12.41956,9.55194,10.12794444,6.733875556,9.023968889,3.885711111,,,60.52656,23,,
2026,WC1,Tacen,W,PINTERIC Naja,0,0,0,0,0,0,0,,,0,38,FLT 7,
2026,WC1,Tacen,W,CHEN Lin,0,0,0,0,0,0,0,,,0,13,,
2026,WC1,Tacen,W,ALTMAN Isabella,0,0,0,0,0,0,0,,,0,35,,
2026,WC1,Tacen,W,BRZESKA Dominika,0,0,0,0,0,0,0,,,0,11,,
2026,WC1,Tacen,W,PIRRO Paulina,8.87379,12.70168667,7.821946667,11.55185167,6.955958333,8.367968333,5.001988333,,,61.27519,24,,
2026,WC1,Tacen,W,SORRIBES Laia,10.5512,8.8578,8.49784,9.623802222,6.391877778,8.69396,4.22572,,,56.8422,8,,
2026,WC1,Tacen,W,DELASSUS Marjorie,10.497155,11.66786,7.729921667,9.819776667,6.223931667,8.785958333,3.867933333,,,58.59253667,14,,
2026,WC1,Tacen,W,MATTI Svenja,0,0,0,0,0,0,0,,,0,29,,
2026,WC1,Tacen,W,NAGASU Momoka,0,0,0,0,0,0,0,,,0,33,,
2026,WC1,Tacen,W,CHLEBOVA Ivana,8.99332,11.42372,8.14188,9.68584,6.98592,9.10792,4.21588,,,58.55448,15,,
2026,WC1,Tacen,W,DUC Jessica,0,0,0,0,0,0,0,,,0,30,,
2026,WC1,Tacen,W,NOVAK Lea,9.87924,11.01952,7.94592,9.91776,7.24388,8.60996,4.36384,,,58.98012,16,,
